0.9.5	id=NAMA_10_GDP
0.9.5	id=tour_cap_nats
0.9.5	id=tour_cap_nats
0.9.5	id=tour_cap_nats
0.8.10	id=demo_r_pjangroup
0.8.10	id=demo_r_pjangroup
0.8.10	id=demo_r_d3dens
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens
0.8.10	id=demo_r_d3dens
0.8.10	id=demo_r_d3dens	stringAsFactors=FALSE
0.8.10	id=demo_r_d3dens
0.8.10	id=demo_r_d3dens
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=lfsa_egan22d
0.8.10	id=lfsa_egana2d
0.8.10	id=earn_ses18_04
0.8.10	id=earn_ses14_04
0.8.10	id=earn_ses10_04
0.8.10	id=earn_ses06_04
0.8.10	id=earn_ses18_27
0.8.10	id=earn_ses14_27
0.8.10	id=earn_ses10_27
0.8.10	id=earn_ses06_27
0.8.10	id=earn_ses18_30
0.8.10	id=earn_ses14_30
0.8.10	id=earn_ses10_30
0.8.10	id=earn_ses06_30
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=demo_r_d3dens	stringsAsFactors=FALSE
0.8.10	id=demo_r_pjanind3
0.8.10	id=demo_r_gind3
0.8.10	id=earn_ses18_04
0.8.10	id=earn_ses18_04
0.8.10	id=earn_ses18_04
0.8.10	id=earn_ses14_04
0.8.10	id=earn_ses18_04
0.8.10	id=earn_ses14_04
0.8.10	id=earn_ses14_04
0.8.10	id=earn_ses10_04
0.8.10	id=earn_ses10_04
0.8.10	id=earn_ses06_04
0.8.10	id=earn_ses06_04
0.8.10	id=earn_ses18_04
0.8.10	id=earn_ses14_04
0.8.10	id=earn_ses14_04
0.8.10	id=earn_ses10_04
0.8.10	id=earn_ses10_04
0.8.10	id=earn_ses06_04
0.8.10	id=earn_ses06_04
0.8.10	id=earn_ses18_04
0.8.10	id=earn_ses14_04
0.8.10	id=earn_ses14_04
0.8.10	id=earn_ses10_04
0.8.10	id=earn_ses10_04
0.8.10	id=earn_ses06_04
0.8.10	id=earn_ses06_04
0.8.10	id=earn_ses18_27
0.8.10	id=earn_ses18_27
0.8.10	id=earn_ses14_27
0.8.10	id=earn_ses14_27
0.8.10	id=earn_ses10_27
0.8.10	id=earn_ses10_27
0.8.10	id=earn_ses06_27
0.8.10	id=earn_ses06_27
0.8.10	id=earn_ses18_30
0.8.10	id=earn_ses18_30
0.8.10	id=earn_ses18_30
0.8.10	id=earn_ses18_30
0.8.10	id=earn_ses14_30
0.8.10	id=earn_ses14_30
0.8.10	id=earn_ses10_30
0.8.10	id=earn_ses10_30
0.8.10	id=earn_ses10_30
0.8.10	id=earn_ses10_30
0.8.10	id=earn_ses10_30
0.8.10	id=earn_ses10_30
0.8.10	id=earn_ses10_30
0.8.10	id=earn_ses14_30
0.8.10	id=earn_ses14_30
0.8.10	id=earn_ses10_30
0.8.10	id=earn_ses10_30
0.8.10	id=earn_ses06_30
0.8.10	id=earn_ses06_30
0.8.10	id=nama_10_gdp
0.8.10	id=lfsa_egana2d
0.8.10	id=lfsa_egana2d
0.8.10	id=lfsa_egana2d
0.8.10	id=lfsa_egana2d
