0.20.3	id=prc_hicp_midx
0.20.3	id=prc_hicp_midx	label=TRUE
0.20.3	id=prc_hicp_manr
0.20.3	id=prc_hicp_manr	label=TRUE
0.20.3	id=prc_hicp_mmor
0.20.3	id=prc_hicp_mmor	label=TRUE
0.20.3	id=prc_hicp_inw
0.20.3	id=prc_hicp_inw	label=TRUE
0.20.3	id=agr_r_milkpr	filters=get("cc", envir = .restatapi_env)$EU27_2020	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=get("cc", envir = .restatapi_env)$EU27_2020	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=get("cc", envir = .restatapi_env)$NMS10	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=paste0("^", countrycode, "..")	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=get("cc", envir = .restatapi_env)$EU27_2020	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=get("cc", envir = .restatapi_env)$NMS10	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=paste0("^", countrycode, "..")	date_filter=2021
0.20.3	id=NAMA_10_GDP
0.20.3	id=htec_cis3	update_cache=TRUE	check_toc=TRUE
0.20.3	id=agr_r_milkpr	cache_dir=/tmp	cflags=TRUE
0.20.3	id=avia_gonc	select_freq=A	cache=FALSE
0.20.3	id=agr_r_milkpr	date_filter=2008	keep_flags=TRUE
0.20.3	id=avia_par_me	filters=BE$	exact_match=FALSE	date_filter=c(2016, "2017-03", "2017-07-01")	label=TRUE	select_freq=Q	name=FALSE
0.20.3	id=agr_r_milkpr	filters=c("BE$", "Hungary")	date_filter=2007-06<	keep_flags=TRUE
0.20.3	id=nama_10_a10_e	filters=c("Annual", "EU28", "Belgium", "AT", "Total", "EMP_DC", "person")	date_filter=c("2008", 2002, 2013:2018)
0.20.3	id=vit_t3	filters=c("EU28", eu$EA15, "HU$")	date_filter=c("2015", 2007)
0.20.3	id=avia_par_me	filters=Q...ME_LYPG_HU_LHBP ME_LYTV_UA_UKKK	date_filter=c("2016-08", "2017-07-01")	select_freq=M
0.20.3	id=htec_cis3	filters=lu	ignore.case=TRUE
